                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.79814,                0.44017,                0.84198,                0.77456,                0.62665,                0.68443,                0.39959,                 1.4179,                0.95846,                0.99098,             0.00041275,             0.00041275,             0.00041275
                     78,                0.79454,                0.43847,                0.84033,                0.73164,                0.62522,                0.68499,                0.39655,                 1.4498,                 0.9839,                 1.0054,             0.00039625,             0.00039625,             0.00039625
                     79,                0.79233,                0.44194,                0.83808,                0.75922,                0.60903,                0.67458,                0.38836,                 1.4703,                 1.0047,                0.99953,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.8003,                 0.4369,                0.84853,                0.77255,                0.58902,                0.66379,                0.38805,                 1.4544,                 1.0138,                 1.0106,             0.00036324,             0.00036324,             0.00036324
                     81,                0.77608,                0.43051,                 0.8379,                0.76292,                0.60576,                0.67724,                0.39814,                 1.4136,                 1.0081,                0.99743,             0.00034674,             0.00034674,             0.00034674
                     82,                0.77447,                0.42916,                0.83615,                0.77611,                0.61431,                0.67987,                0.40216,                 1.4042,                0.95265,                0.98911,             0.00033023,             0.00033023,             0.00033023
                     83,                0.77797,                0.42816,                0.84012,                0.75288,                0.64702,                0.69915,                0.39826,                  1.453,                0.93835,                 1.0055,             0.00031373,             0.00031373,             0.00031373
                     84,                0.75875,                0.41452,                0.83745,                0.75985,                0.64734,                0.70474,                0.39762,                  1.449,                0.94358,                0.99707,             0.00029723,             0.00029723,             0.00029723
                     85,                0.76127,                0.41548,                0.83564,                0.76775,                0.63285,                0.69312,                0.39495,                 1.4534,                0.95663,                 1.0046,             0.00028072,             0.00028072,             0.00028072
                     86,                0.76178,                0.41389,                0.83336,                0.70545,                0.64695,                0.68858,                0.40049,                 1.4403,                  1.019,                 1.0015,             0.00026422,             0.00026422,             0.00026422
                     87,                0.76158,                 0.4099,                0.83495,                 0.7429,                0.62919,                0.68867,                0.39594,                 1.4319,                 0.9942,                0.99782,             0.00024772,             0.00024772,             0.00024772
                     88,                0.76575,                0.41404,                0.83552,                0.73777,                0.63609,                0.69999,                0.40265,                 1.4383,                 0.9569,                 1.0005,             0.00023121,             0.00023121,             0.00023121
                     89,                0.76475,                0.41038,                 0.8331,                0.72823,                0.64062,                0.68742,                0.40524,                 1.4172,                0.99879,                0.99794,             0.00021471,             0.00021471,             0.00021471
                     90,                0.74759,                0.40435,                0.83111,                0.75323,                0.62671,                 0.6886,                0.40157,                 1.4352,                0.97719,                0.99642,             0.00019821,             0.00019821,             0.00019821
                     91,                0.73904,                0.38682,                 0.8282,                0.74143,                0.60967,                0.67781,                0.38923,                 1.4576,                 1.0015,                 1.0013,              0.0001817,              0.0001817,              0.0001817
                     92,                0.73584,                0.38801,                0.82423,                0.79051,                0.62097,                0.68731,                0.39589,                 1.4347,                0.94589,                0.99913,              0.0001652,              0.0001652,              0.0001652
                     93,                0.71249,                0.38168,                  0.822,                0.75052,                0.65163,                0.68429,                0.39462,                 1.4375,                0.93509,                  1.001,              0.0001487,              0.0001487,              0.0001487
                     94,                0.71213,                0.37486,                0.82186,                0.77298,                0.63724,                0.68815,                0.39625,                 1.4358,                0.94217,                0.99768,             0.00013219,             0.00013219,             0.00013219
                     95,                0.71346,                 0.3754,                0.82032,                0.76328,                0.62386,                0.67963,                0.39437,                 1.4462,                0.96298,                 1.0004,             0.00011569,             0.00011569,             0.00011569
                     96,                0.70421,                0.37148,                0.82056,                0.75747,                0.63647,                0.68831,                0.39843,                 1.4387,                  0.958,                0.99921,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.71041,                 0.3728,                0.81776,                0.74895,                0.63621,                0.68573,                 0.3986,                 1.4361,                0.96166,                 1.0011,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.70364,                0.37081,                0.81823,                0.75209,                 0.6331,                0.68072,                0.39396,                 1.4441,                0.96626,                 1.0056,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.70749,                0.36898,                0.81803,                0.75522,                0.62517,                0.68473,                0.39336,                 1.4464,                0.97864,                 1.0035,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.70309,                0.36448,                0.82097,                0.76203,                0.62023,                0.68483,                0.39437,                 1.4484,                0.98367,                 1.0044,             3.3173e-05,             3.3173e-05,             3.3173e-05
