                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  1.127,                0.75383,                 1.1412,                0.61274,                0.52373,                0.48008,                0.16143,                 2.5366,                 2.9986,                 2.3997,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.1903,                0.85245,                 1.1635,                0.63216,                0.41538,                0.45673,                0.16707,                 2.5346,                 2.8007,                 2.3138,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0567,                0.74872,                 1.1046,                0.60335,                0.45385,                 0.4514,                0.17399,                  2.521,                 2.7416,                 2.3259,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.0503,                 0.7617,                 1.0932,                0.46112,                0.47739,                0.44642,                0.16328,                 2.6062,                 2.7642,                  2.407,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0972,                0.72433,                 1.0859,                0.47239,                0.41538,                0.41527,                0.11638,                 2.5881,                 3.0498,                 2.4986,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1476,                0.78675,                 1.1249,                0.58767,                0.58747,                0.47365,                0.18358,                 2.4382,                  2.802,                 2.3907,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1341,                0.71798,                 1.1002,                0.68345,                0.51923,                0.52283,                 0.2464,                 2.4216,                 2.4512,                 2.3931,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1207,                0.76804,                 1.1772,                0.60168,                0.54359,                0.53142,                0.24779,                 2.4329,                 2.2309,                 2.4536,             0.00062729,             0.00062729,             0.00062729
                     65,                0.98211,                0.71823,                 1.0748,                0.79338,                0.63077,                0.59007,                0.23346,                 2.5028,                 2.3486,                  2.545,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2418,                0.82543,                 1.2084,                0.75687,                0.61795,                 0.5858,                 0.2111,                 2.4968,                 2.4184,                 2.3864,             0.00059429,             0.00059429,             0.00059429
                     67,                0.99936,                0.71305,                 1.0968,                0.68882,                0.49805,                0.47379,                0.14433,                 2.5137,                 2.4279,                 2.3961,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1262,                0.69662,                 1.1322,                0.27833,                0.31795,                 0.2013,                0.09244,                 2.4665,                 2.4898,                 2.4577,             0.00056128,             0.00056128,             0.00056128
                     69,                0.96527,                0.66031,                 1.0425,                0.72571,                0.15835,                0.13111,                0.03863,                 2.5262,                 2.6654,                 2.4466,             0.00054478,             0.00054478,             0.00054478
                     70,                0.99106,                0.67849,                 1.0845,                0.74866,                0.13958,                0.11891,                0.03512,                 2.5567,                 2.7455,                 2.4655,             0.00052827,             0.00052827,             0.00052827
                     71,                0.97668,                0.66591,                   1.13,                0.57227,                0.25385,                0.25528,                0.10048,                 2.5847,                 2.6117,                 2.5071,             0.00051177,             0.00051177,             0.00051177
                     72,                0.96102,                0.62448,                 1.0291,                0.65227,                0.55308,                0.53221,                0.18383,                 2.5155,                 2.3863,                 2.4083,             0.00049527,             0.00049527,             0.00049527
