                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.73896,                0.42635,                0.86101,                0.80417,                0.80043,                0.84133,                 0.6813,                0.80093,                0.53052,                0.88446,             0.00069331,             0.00069331,             0.00069331
                     61,                0.73462,                 0.4202,                0.86306,                0.81098,                0.79341,                0.83593,                0.64318,                0.89102,                0.58598,                0.90977,              0.0006768,              0.0006768,              0.0006768
                     62,                0.71402,                0.41722,                0.86109,                0.75297,                0.73796,                0.82303,                0.60484,                0.91307,                0.65866,                 0.9216,              0.0006603,              0.0006603,              0.0006603
                     63,                0.73534,                0.42935,                0.85965,                0.89771,                0.76037,                0.83911,                 0.6729,                0.79612,                 0.5117,                0.88261,              0.0006438,              0.0006438,              0.0006438
                     64,                0.72274,                0.42032,                0.85778,                0.83467,                0.80839,                0.85601,                0.66535,                0.86013,                 0.5411,                0.89259,             0.00062729,             0.00062729,             0.00062729
                     65,                0.72429,                0.41709,                0.85969,                0.88249,                0.74657,                0.83026,                0.64183,                0.86717,                0.53999,                0.90184,             0.00061079,             0.00061079,             0.00061079
                     66,                0.71428,                0.41503,                0.86244,                0.86701,                0.75504,                0.84213,                0.65099,                0.87178,                0.53846,                0.91285,             0.00059429,             0.00059429,             0.00059429
                     67,                0.71779,                0.42058,                0.85851,                0.86714,                0.75922,                 0.8225,                0.62426,                0.87359,                0.58798,                0.91014,             0.00057778,             0.00057778,             0.00057778
                     68,                0.69642,                0.40654,                 0.8566,                0.89339,                0.76178,                0.84577,                0.64269,                0.83285,                0.58131,                 0.9058,             0.00056128,             0.00056128,             0.00056128
                     69,                0.71652,                0.41813,                0.86168,                0.89352,                0.76642,                0.85199,                0.67628,                0.72764,                0.61015,                0.87389,             0.00054478,             0.00054478,             0.00054478
                     70,                0.68424,                0.39628,                0.85091,                0.83962,                0.75585,                0.82705,                0.60445,                0.93306,                 0.5943,                0.92151,             0.00052827,             0.00052827,             0.00052827
                     71,                0.70151,                0.40283,                0.85917,                0.89244,                0.79319,                0.83775,                 0.6513,                0.82722,                0.53037,                0.89812,             0.00051177,             0.00051177,             0.00051177
                     72,                0.71365,                0.39982,                0.85712,                0.85877,                0.80902,                0.86179,                0.66797,                 0.8414,                0.51612,                0.89823,             0.00049527,             0.00049527,             0.00049527
                     73,                0.67789,                0.39188,                0.85282,                  0.774,                0.81378,                0.84235,                0.63812,                0.92225,                0.56815,                0.92534,             0.00047876,             0.00047876,             0.00047876
                     74,                0.68179,                0.39838,                0.84899,                0.80971,                  0.799,                0.83679,                0.65255,                0.82735,                0.55305,                0.89925,             0.00046226,             0.00046226,             0.00046226
                     75,                0.68296,                0.39852,                0.85159,                0.88381,                0.76453,                 0.8375,                0.64517,                0.81684,                0.54532,                0.89014,             0.00044576,             0.00044576,             0.00044576
                     76,                0.67274,                0.38654,                0.84739,                0.74319,                0.86374,                0.83769,                0.65149,                0.87222,                0.53606,                0.89571,             0.00042925,             0.00042925,             0.00042925
                     77,                0.66757,                0.38332,                0.84634,                0.77566,                0.83842,                0.85312,                0.65684,                 0.9444,                0.57197,                0.91068,             0.00041275,             0.00041275,             0.00041275
                     78,                0.67537,                0.38329,                0.85029,                0.85417,                0.82781,                0.85863,                0.65731,                0.90664,                0.57962,                 0.9058,             0.00039625,             0.00039625,             0.00039625
                     79,                0.67579,                0.38726,                0.84756,                0.77933,                0.81836,                0.84075,                 0.6651,                0.83211,                0.55465,                0.89179,             0.00037974,             0.00037974,             0.00037974
                     80,                0.66545,                0.38277,                 0.8497,                 0.8071,                0.80391,                0.84146,                0.65685,                0.88139,                0.53549,                0.90402,             0.00036324,             0.00036324,             0.00036324
                     81,                0.66491,                0.37737,                0.85098,                 0.7863,                0.83128,                0.83906,                0.64893,                0.86053,                 0.5304,                0.89939,             0.00034674,             0.00034674,             0.00034674
                     82,                0.65041,                   0.37,                0.84658,                0.90596,                 0.7463,                0.84465,                0.64138,                0.89555,                0.53644,                0.90489,             0.00033023,             0.00033023,             0.00033023
                     83,                0.66499,                0.37719,                0.84643,                0.89998,                0.75638,                0.85665,                0.64766,                0.87025,                0.53663,                0.90259,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.6551,                0.37005,                0.84454,                0.87451,                0.77624,                0.86354,                0.64627,                0.91655,                0.52178,                 0.9109,             0.00029723,             0.00029723,             0.00029723
                     85,                0.65662,                0.37187,                0.84593,                0.84927,                0.78458,                0.86338,                0.65784,                0.85095,                0.54297,                0.89706,             0.00028072,             0.00028072,             0.00028072
                     86,                0.64629,                0.36903,                0.84439,                0.82444,                0.78912,                0.85007,                0.65809,                0.84361,                0.50911,                0.89794,             0.00026422,             0.00026422,             0.00026422
                     87,                0.64864,                0.36875,                 0.8424,                0.85365,                0.74949,                0.84358,                0.65184,                0.87019,                0.54731,                0.90356,             0.00024772,             0.00024772,             0.00024772
                     88,                0.63938,                0.36556,                 0.8434,                0.74052,                0.83556,                0.84273,                0.63833,                 0.9084,                0.53352,                0.91303,             0.00023121,             0.00023121,             0.00023121
                     89,                   0.64,                0.36729,                0.84371,                0.86185,                0.77074,                0.85709,                0.65988,                0.86113,                0.51991,                0.90125,             0.00021471,             0.00021471,             0.00021471
                     90,                0.63591,                0.36606,                0.84046,                0.89542,                0.75879,                0.85346,                0.65531,                0.87759,                0.52921,                0.90597,             0.00019821,             0.00019821,             0.00019821
                     91,                0.57741,                0.32966,                0.83125,                0.87049,                0.75933,                0.84849,                0.64717,                0.89256,                0.53845,                0.90743,              0.0001817,              0.0001817,              0.0001817
                     92,                0.57197,                0.32701,                0.82723,                0.89184,                0.73962,                0.84822,                0.63742,                0.92228,                0.53607,                0.91699,              0.0001652,              0.0001652,              0.0001652
                     93,                0.55726,                 0.3209,                0.82673,                  0.711,                0.83221,                0.82638,                0.62571,                0.89125,                0.56058,                0.91218,              0.0001487,              0.0001487,              0.0001487
                     94,                0.55374,                0.31958,                0.82385,                0.88649,                0.75799,                0.83723,                0.62654,                0.89848,                0.55444,                0.92007,             0.00013219,             0.00013219,             0.00013219
                     95,                0.55509,                0.31787,                0.82766,                0.80089,                0.76592,                0.83288,                0.63272,                0.88247,                 0.5534,                0.91428,             0.00011569,             0.00011569,             0.00011569
                     96,                 0.5445,                0.31197,                0.81986,                0.84372,                 0.7636,                0.84218,                0.63907,                0.89946,                0.55396,                0.91522,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.54249,                0.31195,                0.82203,                0.77397,                0.84858,                0.84672,                0.63835,                0.91521,                 0.5523,                0.91997,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.5402,                0.31182,                0.82281,                0.75471,                 0.8555,                 0.8517,                0.64604,                0.90316,                0.55328,                0.91815,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.53327,                0.30817,                0.82268,                0.89241,                0.77373,                0.86048,                0.65844,                0.88815,                 0.5349,                0.91026,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.52721,                0.30198,                0.82059,                0.76229,                 0.8517,                0.85534,                0.65302,                0.88462,                0.53417,                0.90845,             3.3173e-05,             3.3173e-05,             3.3173e-05
